id,headline,link,Date
15014,정의의 핵마치로 폭제의 핵 무자비하게 내려칠것,https://kcnawatch.org/newstream/278458/%c2%b7%ec%a0%95%ec%9d%98%ec%9d%98-%ed%95%b5%eb%a7%88%ec%b9%98%eb%a1%9c-%ed%8f%ad%ec%a0%9c%ec%9d%98-%ed%95%b5-%eb%ac%b4%ec%9e%90%eb%b9%84%ed%95%98%ea%b2%8c-%eb%82%b4%eb%a0%a4%ec%b9%a0%ea%b2%83/,8/8/2017
15015,중부전선의 미싸일부대에서 시험교육사격훈련,https://kcnawatch.org/newstream/1680067876-433723264/%ec%a4%91%eb%b6%80%ec%a0%84%ec%84%a0%ec%9d%98-%eb%af%b8%ec%8b%b8%ec%9d%bc%eb%b6%80%eb%8c%80%ec%97%90%ec%84%9c-%ec%8b%9c%ed%97%98%ea%b5%90%ec%9c%a1%ec%82%ac%ea%b2%a9%ed%9b%88%eb%a0%a8/,3/28/2023
15016,조선중앙통신사 론평 미국과 남조선의 군사적만동에 대가 치를것이다,https://kcnawatch.org/newstream/1680500809-865597948/%ec%a1%b0%ec%84%a0%ec%a4%91%ec%95%99%ed%86%b5%ec%8b%a0%ec%82%ac-%eb%a1%a0%ed%8f%89-%eb%af%b8%ea%b5%ad%ea%b3%bc-%eb%82%a8%ec%a1%b0%ec%84%a0%ec%9d%98-%ea%b5%b0%ec%82%ac%ec%a0%81%eb%a7%8c%eb%8f%99/,4/2/2023
15017,여러 나라 인사들이 김정은총비서의 령도 격찬,https://kcnawatch.org/newstream/1680587260-805701988/%ec%97%ac%eb%9f%ac-%eb%82%98%eb%9d%bc-%ec%9d%b8%ec%82%ac%eb%93%a4%ec%9d%b4-%ea%b9%80%ec%a0%95%ec%9d%80%ec%b4%9d%eb%b9%84%ec%84%9c%ec%9d%98-%eb%a0%b9%eb%8f%84-%ea%b2%a9%ec%b0%ac/,4/3/2023
15018,"국제안보문제평론가 미국,일본,남조선 련합해상훈련 비난",https://kcnawatch.org/newstream/1680828445-169782258/%ea%b5%ad%ec%a0%9c%ec%95%88%eb%b3%b4%eb%ac%b8%ec%a0%9c%ed%8f%89%eb%a1%a0%ea%b0%80-%eb%af%b8%ea%b5%ad%ec%9d%bc%eb%b3%b8%eb%82%a8%ec%a1%b0%ec%84%a0-%eb%a0%a8%ed%95%a9%ed%95%b4%ec%83%81%ed%9b%88/,4/6/2023
15019,국제문제평론가 《오커스》는 핵전파방지제도 허물고 군비경쟁 고조,https://kcnawatch.org/newstream/1680916000-474064591/%ea%b5%ad%ec%a0%9c%eb%ac%b8%ec%a0%9c%ed%8f%89%eb%a1%a0%ea%b0%80-%e3%80%8a%ec%98%a4%ec%bb%a4%ec%8a%a4%e3%80%8b%eb%8a%94-%ed%95%b5%ec%a0%84%ed%8c%8c%eb%b0%a9%ec%a7%80%ec%a0%9c%eb%8f%84-%ed%97%88/,4/7/2023
15020,"로동계급과 직맹원들의 반미,대남 복수결의모임",https://kcnawatch.org/newstream/1680916001-168662481/%eb%a1%9c%eb%8f%99%ea%b3%84%ea%b8%89%ea%b3%bc-%ec%a7%81%eb%a7%b9%ec%9b%90%eb%93%a4%ec%9d%98-%eb%b0%98%eb%af%b8%eb%8c%80%eb%82%a8-%eb%b3%b5%ec%88%98%ea%b2%b0%ec%9d%98%eb%aa%a8%ec%9e%84/,4/7/2023
15021,핵무인수중공격정 《해일-2》형 투입 수중전략무기체계시험,https://kcnawatch.org/newstream/1681088720-266937095/%ed%95%b5%eb%ac%b4%ec%9d%b8%ec%88%98%ec%a4%91%ea%b3%b5%ea%b2%a9%ec%a0%95-%e3%80%8a%ed%95%b4%ec%9d%bc-2%e3%80%8b%ed%98%95-%ed%88%ac%ec%9e%85-%ec%88%98%ec%a4%91%ec%a0%84%eb%9e%b5%eb%ac%b4%ea%b8%b0/,4/8/2023
15022,김정은총비서 전략무력강화 공헌 국방과학연구부문의 성원들 높이 평가,https://kcnawatch.org/newstream/1681715149-304776295/%ea%b9%80%ec%a0%95%ec%9d%80%ec%b4%9d%eb%b9%84%ec%84%9c-%ec%a0%84%eb%9e%b5%eb%ac%b4%eb%a0%a5%ea%b0%95%ed%99%94-%ea%b3%b5%ed%97%8c-%ea%b5%ad%eb%b0%a9%ea%b3%bc%ed%95%99%ec%97%b0%ea%b5%ac%eb%b6%80/,4/14/2023
15023,신형대륙간탄도미싸일 《화성포-18》형 시험발사-김정은총비서 지도,https://kcnawatch.org/newstream/1681715150-242608896/%ec%8b%a0%ed%98%95%eb%8c%80%eb%a5%99%ea%b0%84%ed%83%84%eb%8f%84%eb%af%b8%ec%8b%b8%ec%9d%bc-%e3%80%8a%ed%99%94%ec%84%b1%ed%8f%ac-18%e3%80%8b%ed%98%95-%ec%8b%9c%ed%97%98%eb%b0%9c%ec%82%ac-%ea%b9%80/,4/14/2023
