sword,shield,badge,id
0,0,0,1
1,2,0,2
0,0,0,3
1,4,1,4
0,0,0,5
4,2,2,6
3,2,2,7
1,1,2,8
0,2,3,9
0,0,0,10
0,0,2,11
1,7,2,12
0,1,1,13
3,0,1,14
1,0,6,15
2,1,2,16
0,0,1,17
0,0,0,18
1,0,0,19
0,0,1,20
4,9,3,21
3,6,2,22
1,0,1,23
1,6,1,24
4,2,2,25
3,5,4,26
1,4,2,27
2,3,2,28
1,3,2,29
2,1,3,30
2,0,1,31
0,4,1,32
1,3,1,33
0,3,1,34
2,6,0,35
2,4,3,36
1,4,1,37
5,4,2,38
1,3,1,39
1,1,0,40
1,0,1,41
3,2,1,42
0,1,0,43
6,4,6,44
2,3,1,45
2,2,2,46
2,2,1,47
3,6,4,48
0,1,1,49
0,1,1,50
2,2,3,51
1,2,0,52
1,4,1,53
2,3,0,54
2,0,1,55
0,2,1,56
2,5,1,57
1,6,2,58
2,2,0,59
0,2,2,60
1,4,1,61
1,2,2,62
3,2,1,63
2,1,1,64
4,2,3,65
1,4,0,66
1,1,0,67
1,0,2,68
0,4,0,69
0,1,0,70
1,2,1,71
4,3,2,72
1,2,2,73
1,0,0,74
0,0,1,75
0,0,1,76
1,0,1,77
0,4,3,78
2,1,0,79
0,1,0,80
0,2,0,81
0,1,2,82
1,6,1,83
0,3,0,84
1,2,0,85
3,1,1,86
0,0,0,87
0,2,1,88
0,1,1,89
1,1,1,90
0,1,0,91
0,0,3,92
1,0,1,93
2,2,2,94
2,2,1,95
0,1,1,96
2,3,0,97
0,0,2,98
2,2,0,99
0,1,1,100
0,0,0,101
1,0,1,102
2,3,2,103
0,0,2,104
1,0,0,105
0,0,1,106
1,0,0,107
0,2,0,108
1,2,1,109
0,0,0,110
0,4,2,111
1,3,1,112
1,1,2,113
0,1,1,114
1,3,0,115
3,2,2,116
1,4,1,117
1,1,0,118
2,1,1,119
2,2,0,120
0,0,0,121
0,0,1,122
0,0,0,123
3,8,3,124
1,3,4,125
5,6,5,126
3,5,3,127
2,5,5,128
5,3,3,129
3,3,7,130
2,2,2,131
2,5,3,132
4,5,3,133
2,4,3,134
3,6,1,135
3,3,1,136
3,1,1,137
2,5,1,138
1,2,0,139
1,1,2,140
2,3,1,141
2,2,1,142
1,3,1,143
2,3,1,144
0,2,0,145
2,1,1,146
1,3,1,147
2,0,2,148
1,1,2,149
1,3,1,150
0,1,0,151
0,1,0,152
0,1,1,153
0,0,0,154
1,1,1,155
1,3,1,156
0,1,1,157
1,0,0,158
0,0,2,159
1,1,0,160
0,0,1,161
2,2,2,162
0,1,0,163
1,1,1,164
0,0,0,165
0,0,0,166
1,12,3,167
3,5,4,168
2,0,3,169
3,9,4,170
2,6,3,171
0,0,0,172
1,6,1,173
3,8,5,174
3,8,7,175
1,0,4,176
2,0,4,177
3,0,4,178
2,4,1,179
4,12,4,180
1,0,3,181
6,2,12,182
2,4,3,183
1,5,3,184
5,7,5,185
0,3,3,186
1,1,2,187
0,0,0,188
3,2,3,189
4,7,4,190
2,3,2,191
0,1,2,192
1,10,2,193
2,4,2,194
1,2,1,195
1,8,2,196
0,3,2,197
0,4,3,198
2,6,2,199
7,6,10,200
2,3,1,201
2,2,4,202
1,5,2,203
1,5,2,204
0,4,3,205
3,3,1,206
1,5,1,207
1,0,1,208
1,3,2,209
2,2,0,210
0,4,1,211
1,1,3,212
1,2,2,213
1,0,1,214
1,2,0,215
2,2,1,216
1,2,0,217
2,2,2,218
3,3,1,219
1,3,1,220
2,6,2,221
2,1,2,222
