term,tokenized,category
세계앞에서,세계 앞,badge
핵보유국의 전렬,핵보유국 전렬,badge
핵보유국지위,핵보유국 지위,badge
핵강국의 전렬,핵강국 전렬,badge
당당한 핵보유국,당당 핵보유국,badge
최첨단핵,최첨단핵,badge
세기적인 기적,세기 기적,badge
국가핵무력완성,국가 핵무력 완성,badge
힘의 대결,힘 대결,badge
동방의 핵강국,동방 핵강국,badge
자랑스러운,자랑 스럽,badge
세상에 없다,세상 없,badge
신뢰성,신뢰성,badge
세계적인 핵,세계 핵,badge
조미대결,조미 대결,badge
당황,당황,badge
힘찬 진군,힘찬 진군,badge
공화국핵무력,공화국 핵무력,badge
정의의 핵억제력,정의 핵억제력,badge
기술적우세,기술 우세,badge
힘의 대결,힘 대결,badge
대결시대,대결 시대,badge
전략적지위,전략 지위,badge
놀라,놀라,badge
우리 식,우리 식,badge
초강도,초강도,badge
더 위력한,더 위력한,badge
무진막강한,무진 막강,badge
핵반격,핵반격,sword
가해질것,가하,sword
전쟁밖에,전쟁 밖에,sword
핵에는 핵으로,핵에는 핵으로,sword
민족의 생명이,민족 생명,sword
핵전투,핵전투,sword
핵타격무장,핵타격 무장,sword
핵공격태세,핵공격 태세,sword
핵선제타격권,핵선제 타격 권,sword
섬멸의 포문,섬멸 포문,sword
전멸,전멸,sword
종국적파멸,종국 파멸,sword
핵공격능력,핵공격 능력,sword
핵무력강화,핵무력 강화,sword
경고,경고,sword
전투태세,전투태세,sword
핵보검,핵보검,sword
전투준비태세,전투준비태세,sword
조미핵대결전,조미 핵대결 전,sword
전쟁상태,전쟁 상태,sword
막을수 없다,막을수 없,sword
자멸,자멸,sword
교전관계,교전 관계,sword
보복타격,보복 타격,sword
주체무기,주체 무기,sword
위력한 보검,위력한 보검,sword
장검,장검,sword
정밀핵타격수단,정밀 핵타격 수단,sword
우리의 생존,우리 생존,shield
대조선핵선제공격,대조선 핵선제공격,shield
미국의 핵선제공격,미국 핵선제공격,shield
방패로,방패,shield
우리에 대한 핵선제공격,우리 핵선제공격,shield
핵위협이 가증,핵위협 가증,shield
핵악몽,핵악몽,shield
미국의 핵전쟁도발,미국 핵전쟁 도발,shield
미국의 핵전쟁도발책동,미국 핵전쟁 도발 책동,shield
외부의 핵위협,외부 핵위협,shield
평화수호,평화 수호,shield
정당방위,정당방위,shield
반핵,반핵,shield
평화적핵,평화적핵,shield
핵선제공격대상으로,핵선제공격 대상,shield
핵전쟁위협,핵전쟁 위협,shield
침략정책,침략 정책,shield
북침핵전쟁연습,북침 핵전쟁 연습,shield
핵전쟁발발,핵전쟁 발발,shield
핵위협공갈,핵위협 공갈,shield
방위력,방위력,shield
불장난,불장난,shield
평화적환경,평화 환경,shield
자위적,자위적,shield
핵전쟁책동,핵전쟁 책동,shield
생존권,생존권,shield
평화보장,평화 보장,shield
위협당하고,위협 당하,shield
핵재난,핵재난,shield
전쟁광,전쟁광,shield
