id,text,category
2351,평양 일 발 조선중앙통신 일부 로동신문 개인 필명 론설 조선반도 비핵 민족 공동 목표 조선 군대 인민 변함없 의지 라고 강조 론설 공화국 미국 핵전쟁 위협 조선반도 핵문제 사 생 시키 근본 요인 라고 까 밝히 다음 같이 지적 미국 지나 조선 전쟁 시기 남조선 핵무기 체계 끌어들이 크 작 북침 핵전쟁 연습 뻔질나 벌리 놓 으면서 공화국 끊임없 핵위협 가하 오 미국 핵전쟁 도발 책동 으로부터 조선 반도 평화 수호 민족 자주 권 지키 수단 으로서 핵보유 만약 핵보유 못 다면 조선반도 힘 균형 파괴 여 필연코 민족 침략자 핵참화 쓰 비극 운명 강요 당하 핵무력 철두철미 미국 핵위협 억제 수단 결코 동족 공갈 해치 수단 핵무력 미국 핵위협 공갈 종식 시키 평화 민족 안녕 수호 민족 공동 보검 동족 남조선 당국 불신 적대감 여전 동족 해치 외세 핵용인 오 겨레 지키 동족 핵부인 이중 자세 립 장 절대로 정당 남조선 당국 진실로 북남 사이 관계 개선 조선반도 평화 비핵 바라 ᆫ다면 제안 대로 미국 핵공격 수단 남조선 끌어들이 분별없 행위 말 ᆫ다 끝,shield
734,평양 일 발 조선중앙통신 일부 로동신문 개인 필명 론설 미국 일방 핵위협 공갈 력사 종지부 찍히 강조 론설 오바마 집권 기간 미국 공화국 상대 년 핵위협 가증 시키 오 데 폭로 오바마 집권기 간 미국 모든 전략 핵타격 수단 조선반도 총 집중 겨냥 핵선제 공격 연습 열 올리 엄중 연습 미국 념 불 처럼 외우 오 년례 방어 허울 마저 완전히 벗 던지 평양 점령 참수작전 떠벌이 벌리 가장 로 골 악랄 사상 최대 규모 북침 핵전쟁 연습 들이 미국 핵억제력 강화 려는 조선 조치 사사건건 걸 들 국제법 안중 없이 공화국 자주권 자위권 인민 생존 권 빼앗 으려고 날뛰 였 국제 법 정의 진리 마구 짓밟 으면서 전대미문 정치 군사 압력 제재 책동 일삼 오 오바마 속 심 무장 해제 시키 자는 저 일방 핵위협 선제 공격 합리 자는 였 그러나 오바마 오산 론설 다음 같이 지적 오바마 집권 기간 공화국 차례 핵시험 진행 대 성공 이룩 미국 한사코 전대미문 핵위협 공갈 제재 가하 결과 공화국 최강 핵공격 능력 갖추 당당 핵강국 였 미국 본토 안전 담보 였 움쩍 순간 미국 본토 불바다 있 끝,shield
825,평양 일 발 조선중앙통신 얼마 전 군대 미제 핵항공 모함 비롯하 핵타격 수단 가지 자주 권 생존 권 위협 려 들 ᆫ다면 백악관 펜타곤 태평양 상 널리 미제 군사 기지 미국 대 도시 향하 핵탄두 로케트 발사 내외 엄숙히 천명 일부 로동신문 개인 필명 론설 민족 화해 단합 나라 평화 통일 공화국 성의 있 노력 도전 기어이 북침 전쟁 불 지르 려고 발광 내외 호전 광 단호히 불 벼락 안기 선언 조선 인민군대 립장 천만 번 정당 강조 론설 공화국 강 위력 핵무력 갖추 자주권 평화 수호 자위 선택 라고 다음 같이 강조 미국 이미 오래 전 남조선 핵무기 체계 끌어들이 크 작 북침 핵전쟁 연습 뻔질나 벌리 놓 으면서 공화국 끊임없 핵위협 가하 으며 규모 폭 계단식 확대 오 미국 남조선 괴뢰 얼마 안 감행 되 을지 프리덤 가디언 합동 군사 연습 관련 맞춤 형 억제 전략 세분 니 구체 니 긴장 격화 고의 부추기 미제 괴뢰 호전 광 의하 조선반도 핵전쟁 발발 위험 시시각각 크 가 미국 남조선 괴뢰 공화국 반대 핵불장난 소동 매달리 저 운명 얼마나 위태 롭 는가 데 심사숙고 좋 론설 내외 호전 광 공화국 거듭 경고 불구하 감히 전쟁 불꽃 튕기 ᆫ다면 도발 자 저 지르 핵전쟁 불길 속 재 가루 가 말 라고 경고 끝,shield
7023,평양 일 발 조선중앙통신 조선민주주의인민공화국 외무성 미국 담당 부상 한성렬 주조 로씨야 대사 마쩨고라 만나 현 조선반도 정세 관하 의견 교환 측 미국 반대 벌리 놓 사상 최대 규모 합동 군사 연습 전략 자산 증강 책동 조선반도 정세 격화 근원 데 강조 미국 핵전쟁 위협 으로부터 나라 자주권 생존권 조선반도 평화 수호 핵억제력 강화 조치 계속 취하 나가 립 장 천명 로씨야 측 립 장 리 해 표시 조선반도 정세 하루 빨리 완화 바라 ᆫ다고 쌍방 전통 친선 관계 부합 여러 분야 협조 보다 강화 끝,shield
180,평양 일 발 조선중앙통신 일부 로동신문 실리 개인 필명 론 평 핵숨 박 곡 질 걷어치우 ᆫ다 전문 다음 미국 나라 군사 위협 구실 전례 대조 서 압력 소동 벌리 정세 극단 상황 끌어가 있 군사 위협 동맹국 보호 강력 핵우산 제공 라고 떠벌이 공화국 반대 핵전쟁 기도 공개 시사 미국 제창 남조선 일본 동맹국 핵우산 제공 공약 본질 핵선제공격 론 이다 동맹국 미국 핵우산 제공 공약 리 면 많 핵무기 남조선 일본 조선반도 주변 전진 배치 군사 위협 구실 조선 반도 합법 핵전쟁 도발 려는 범죄 기도 깔리 미국 위협 란 저 침략 전쟁 책동 합리 는데 리용 위협 개념 전쟁 리해 관계 로부터 출발 들고나 오 즉 그것 조선반도 핵전쟁 도발 명분 써먹 으려 남조선 일본 동맹국 미국 핵우산 제공 공약 이러 론리 세우 핵전쟁 교리 지금 남조선 일본 오끼나와 조선반도 주변 미국 방대 핵타격 수단 배비되여 으며 그것 임의 시각 공화국 향하 불 뿜 있 준비 여 나라 미국 완전 핵공격 권 안 들 으며 조선반도 세계 핵전쟁 위험 가장 크 미국 핵전쟁 도발 책동 인민 항시 핵전쟁 위험 속 벗어나 못하 세계 인민 처럼 핵전쟁 위험 속 살 인민 미국 군사 위협 구실 동맹국 핵우산 제공 공약 로 골 핵전쟁 선언 미국 추종 세력 사 촉 받 유엔 안보리 사회 날강도 반 공화국 도발 행위 대처 자위 조치 일환 핵시험 미국 자국 안보 동맹국 위협 걸 들 정의 부 정의 부 정의 정의 뒤바꾸 놓 궤변 론리 미국 핵숨 박곡지 ᆯ로 롱 간 부리 려 은데 이제 그런 놀음 그만두 가 남 미국 인류 력사 상 맨 처음 핵무기 시험 감행 지금 세계 총 차례 핵시험 진행 가운데 미국 감행 핵시험 무려 회 달하 과정 미국 수많 핵무기 만들 내 으며 세계 핵대결 마당 전변 시키 핵시험 가장 많이 미국 세계 핵무기 보유 수 단연 첫 자리 차지 다 인류 머리 우 처음 유일 핵참화 들씌우 핵전범 자 역시 미국 지금 미국 가지 핵무기 전 인류 몇 십 번 전멸 시키 있 막대 량 다 나라 핵억제력 강화 조치 미국 핵위협 대처 자위 조치 시기 세기 들어오 미국 나라 터무니없이 악 축 지명 핵태세 검토 보고서 핵선제공격 대상 정하 후 사실 보이 처럼 누구 위협 가하 누구 위협 당하 는가 삼척동자 짐작 있 문제 미국 핵태세 검토 보고서 명실공히 대조 서 핵선제 공격 공식 선포 핵전쟁 문서 미국 핵공화국 공격 세계 면전 공공연히 선언 조건 속수무책 앉 죽 기다리 자명 리치 자주권 나라 민족 생명 다 자주 권 빼앗기 인민 죽 목숨 이나 다름없 조성 정세 대처 나라 형편 처럼 어렵 조건 허리띠 졸라매 국방력 강화 모든 힘 다 으며 군사 진지 튼튼히 다지 오 핵억제력 명실공히 나라 자주권 생존권 지키 정의 보검으 조선반도 평화 수호 위력 방패 미국 핵선제공격 기도 대처 자위 핵억제력 갖추 정정당당하 미국 조선반도 핵전쟁 도발 얼마나 악랄 책동 는가 데 자신 잘 알 다른 그만두 라도 미국 핵전쟁 사령탑 불리우 핵전쟁 지휘 기 조선반도 주변 띄우 놓 공화국 반대 핵전쟁 연습 광란 벌리 사실 온 세계 생생히 기억 미국 지나 시기 해마다 벌리 오 팀 스피리트 비롯하 키 리졸브 독수리 합동 군사 연습 조선반도 핵전쟁 준비 완성 노리 예비 전쟁 시험 전 쟁이 전쟁 연습 벌어지 마다 조선 반도 주변 핵항공 모함 비롯하 미국 방대 전투 함선 집단 핵공격 기 특수전 무력 밀려들 구 어느 나라 언론인 두 까마귀 떼 조선반도 주변 둘러싸 크 잔치 놀음 벌리 묘사 바 있 미국 오래전 남조선 일본 핵밀약 반대 핵전쟁 준비 다그치 오 공개 비밀 오늘 오 군사 위협 구실 공화국 반대 핵전쟁 합법 치르 계획 나라 핵시험 두 악의 차 요란스레 떠들 핵항공 모함 전단 태평양 상 출동 시키 동시 동맹국 보호 미명하 핵우산 제공 들 나오 미국 책동 위험 바로 여기 미국 선포 핵군축 및 전파 방지 거짓 기만 그것 핵전쟁 주범 으로서 저 정체 가리우 평화 사도 둔갑 보 려는 가소롭 짓 핵군축 전파 방지 로써 가 실천 실현 여야 미국 핵군축 및 전파 방지 타령 저 핵범죄 가리우 병풍 불과 미국 앞 핵군축 및 전파 방지 표방 뒤 핵다른 나라 위협 공갈 핵전쟁 위험 조성 세계 핵군축 및 전파 방지 노력 도전 미국 무슨 군사 위협 떠들 구실 동맹국 에 핵우산 제공 공약 나서 많 핵무기 생산 전진 배 비 사용 노리 흉계 발로 그것 세계 규모 핵군비 경쟁 조장 핵전쟁 불러오 위험천만 행위 미국 진정 핵군축 전파 방지 원하 ᆫ다면 동맹국 핵우산 제공 위험 핵전쟁 게임 놀 핵무기 철 페 실천 모범 보이 미국 면사포 쓰 핵군축 떠들 대 핵몽둥이 움켜쥐 사납 울부짖 핵독수리 몰골 절대로 숨기 오늘 밝 세상 미국 줄타기 식 핵숨 박 곡 질 절대로 는다 미국 자기 범죄 정체 가리우 누구 위협 운운 정의 평화 인류 량 심 우롱 기만 전반 핵군축 주장 핵무기 평화 롭 새 세계 건설 지향 핵억제력 철두철미 자위 이며 평화 애호 성격 사명 지니 미국 무모 대조 서 핵압력 소동 자위 핵억제력 강화 조치 추동 자극제 뿐 미국 기만 핵군축 및 전파 방지 타령 누구 무장 해제 시키 려는 위장 평화 술책 걷어치우 핵전쟁 흉계 버리 ᆫ다 끝,shield
3241,평양 일 발 조선중앙통신 조선 핵탄두 폭발 시험 성공 당황 망조 나머지 분별 없이 날뛰 미국 규탄 백두산 위 칭송 대회 스위스 준비 위원회 스위스 조선 위원회 스위스 주체 사상 연구소 조 공동 성명 발표 성명 조선 핵탄두 폭발 시험 성과 진행 자마자 미국 대통령 악의 차 망발 마구 늘어놓 다음 같이 강조 조선 단행 핵탄두 폭발 시험 미국 비롯하 적대 세력 핵전쟁 위협 제재 소동 실제 대응 조치 일환 퇴임 앞두 오바마 성명 발표 놀음 조선민주주의인민공화국 핵보유 뜨 민 책임 회피 려는 속 심 깔리 오바마 당당 핵보유국 으로서 조선 전략 지위 한사코 부정 려 들 손바닥 하늘 해 가리우 보 려는 어리석 짓 조선민주주의인민공화국 미국 가증 핵위협 공갈 로부터 자기 자주권 생존권 평화 수호 병 진로 선 확고히 틀어쥐 나가 이번 핵탄두 폭발 시험 병 진로 선 관철 공정 뿐 미국 대 조선 정책 총파산되 미국 조선민주주의인민공화국 핵보유국 인정 ᆫ다 끝,shield
453,평양 일 발 조선중앙통신 얼마 전 미국 핵태세 검토 보고서 발표 보고서 각종 핵살인 장비 더욱 늘이 현대 임의 순간 다른 나라 핵선제 공격 가하 호전 론리 침략 계획 가득 차 일부 로동신문 개인 필명 론설 로써 미국 핵다른 나라 민족 억누르 세계 지배 려는 기도 다시금 로 골 드러내 놓 까 밝히 론설 미국 력사 상 일 처음 핵무기 만들 내 여 지구 상 핵군비 경쟁 몰아오 핵전쟁 위협 사 생 시키 장본인 데 자료 폭로 다음 같이 지적 미국 이야말로 각종 핵살인 장비 산더미 처럼 쌓 놓 세계 핵전쟁 발발 몰 가 최악 핵범죄 국가 미국 지구 상 존재 인류 가하 핵위협 계속 증대 핵우세 기초 강권 전쟁 책동 더욱 우 심 나라 핵보유 핵무력 강화 미국 가증 핵위협 공갈 대처 정정당당하 자위 조치 핵무력 강화 조선 반도 세계 평화 안전 미제 국가 향하 핵발 사납 드러내 ᆯ수록 자신 선택 길 옳 더욱 확신 경제 건설 핵무력 건설 병진 로 선 관철 총 매진 다 끝,shield
3782,평양 일 발 조선중앙통신 일부 로동신문 개인 필명 론설 조선 자위 국방력 결코 누구 침략 거나 위협 자주권 생존권 세계 평화 안전 수호 힘 보검 정의 억제력 라고 밝히 론설 미제 주구 핵전쟁 도발 책동 짓 불 시 조선반도 공고하 평화 보장 조국 통일 이룩 길 군사력 핵억제력 더욱 강화 데 다음 같이 지적 자위 국방력 강화 정정당당하 권리 미국 추종 세력 핵위협 공갈 계속 한 그리고 문전 앞 년례 감투 쓰 전쟁 연습 소동 걷어치우 한 핵무력 중추 자위 국방력 선제 공격 능력 계속 강화 나가 려는 확고부동 의지 막강 정치 군사 위력 의거 나라 자주 권 존엄 조선반도 동북아시아 세계 평화 안전 굳건히 수호 선군 조선 세계 어느 나라 당하 보 못하 미증유 시련 난관 속 최강 핵보유국 솟아오르 공화국 제재 든 압박 든 전쟁 든 무엇 두렵 세상 어디 찾아보 군대 인민 일심 단결 위력 병진 기치 높이 최 첨단 돌파 다지 오 핵억제력 적 군사 도발 위협 책동 과감히 짓 부시 나가 끝,shield
227,평양 일 발 조선중앙통신 일부 로동신문 실리 개인 필명 론 평 핵문제 사 생 시키 용납 못하 죄악 전문 다음 미국 남조선 강점 미제 침략군 핵무장 착수 선포 로부터 년 였 이미 조선 전쟁 초기 공화국 해치 핵무기 사용 기도 오 미국 북침 핵전쟁 일으키 세계 제패 야망 실현 범죄 흉계 로부터 월 남조선 강점 미제 침략군 핵무장 착수 공식 선포 이후 미국 남조선 현대 핵무기 계속 끌어들이 이곳 극동 최대 핵전초 기지 세계 가장 위험 핵화약고 전변 시키 였 한편 남조선 괴뢰 함께 팀 스피리트 합동 군사 연습 비롯 핵선제 공격 노리 북침 불장난 소동 광란 벌리 였 이것 비핵 국가 핵무기 반입 국제 조약 완전히 배치 으로서 공화국 로골 핵공갈 북침 야망 실현 수단 방법 가리 야만 침략자 분별 망 동이 미국 핵전쟁 도발 책동 조선반도 언제 핵전쟁 터지 ᆯ지 아 위험 항시 조성 민족 운명 엄중히 위협 당하 였 여기 서 명백 바 같이 조선반도 핵문제 생겨나 근본 원인 남조선 숱하 핵무기 배비 북침 핵선제 공격 가하 악랄 책동 미국 야합 괴뢰 호전 광 책동 있 그렇 ᆷ 불구 미국 남조선 괴뢰 이러 력사 사실 현실 외면 공화국 자위 핵억제력 걸 들 서 핵포기 야망 실현 반 공화국 핵소동 악랄 벌리 이것 이야말로 도적 매 들 격 파렴치 행위 가 미국 남조선 핵무기 끌어들이 조선반도 핵문제 사 생 시키 해결 가로막 장본인 으로서 책임 결코 벗어나 전 조선반도 비핵 실현 자면 하여금 핵무기 가지 만드 근원 미국 핵위협 청산 여야 미국 진심 조선반도 핵문제 해결 관심 있 다면 공화국 핵공격 해치 려는 기도 버리 하지만 미국 핵전쟁 도발 책동 오히려 나날이 강화 공화국 핵선제공격 대상 규정 핵불의 기습 타격 위험 각본 짜 놓 데 기초 괴뢰 함께 키 리졸브 독수리 합동 군사 연습 비롯하 모험 북침 핵전쟁 연습 소동 해마다 광란 벌리 며칠 전 미국 핵공격 잠수함 텍사스 호 부산 항 끌어들이 그것 공개 호전 망 동 부리 였 이것 공화국 핵위협 조선반도 핵전쟁 재난 몰아오 미국 책동 얼마나 끈질기 위험 ᆫ가 여실히 보이 조선반도 핵전쟁 위험 미국 야합 남조선 보수 당국 반 민족 책동 의하 더욱 크 가 리명박패 당 공화국 선 핵포기 북침 핵전쟁 도발 기정사실 외세 공조 국제 반 공화국 핵소동 미치 듯이 벌리 도발 위협 운운 조선반도 유사시 공화국 핵공격 가하 이른바 핵확장 억제력 제공 미국 집요 구걸 공화국 적극 노력 불구 조선반도 핵문제 해결 민족 운명 안중 리명박 역적 패 당 반 공화국 핵소동 북침 핵전쟁 도발 책동 절대 떼이 놓 미국 남조선 괴뢰 당국 자위 핵억제력 시비 전 조선반도 핵무기 끌어들이 핵전쟁 위험 끊임없이 고조 시키 저 죄악 돌이켜보 미국 남조선 보수 패 당 어리석 망상 버리 시대 착오 반 공화국 핵소동 핵전쟁 도발 책동 당장 걷어치우 ᆫ다 끝,shield
1144,평양 일 발 조선중앙통신 조선 자위 핵탄두 폭발 시험 성공 축하 메히꼬 나이제리아 인사 담화 발표 메히꼬 인민 사회 당 중앙 위원회 총비서 헤쑤스 안또니오 까를로스 에르난데스 조선 인민 미국 날 악랄 침략 위협 대처 자기 자주 권 생존 권 수호 핵탄두 폭발 시험 성공 열렬히 축하 ᆫ다고 다음 같이 강조 미 제국주의 힘 약하 나라 에 그 어떤 국제법 아랑곳 무 차별 폭격 가하 으며 내부분렬 조장 시키 동족 상 쟁 일으키 대처 조선 인민 핵억제력 더욱 강화 나가 너무 응당 조선반도 세계 평화 수호 나가 데 서 커다랗 의의 가지 제국주의자 온갖 압력 굴하 투쟁 조선 인민 변함없 지지 성원 보내 나이제리아 인민민주당 신용 위원회 위원 나이제리아 조선 친선 협회 위원장 이브라힘 만 투 사상 최대 규모 핵전략 자산 방대하 무력 조선반도 끌어들이 수십 간 핵위협 공갈 일삼 미국 맞서 조선 자위 핵억제력 백방 강화 나가 매우 정당 조치 라고 언급 미국 이상 조선 자주권 생존권 위협 말 현실 리 성 판단 가지 시대 착오 대조 선 적대 시 정책 당장 철회 강력히 요구 끝,shield
